    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   189529,   2.0000,   202675,      205,     0000,        0,        0,        0,        1,   188474,   187209,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.12509, 180780.24,        0,        0,        0,        0,       -2,      805,     3009,      416,      430,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        1,   189430,   2.0000,   202561,      207,     0000, 5.2789949e-06,        0,        0,        1,   188148,   187334,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.04059, 180787.17,        0,        0,        0,        0,       -2,      838,     2965,      436,      430,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   189410,   2.0000,   202542,      207,     0000,        0,        0,        0,        1,   188143,   187280,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9397, 180794.1,        0,        0,        0,        0,       -2,      776,     2933,      427,      422,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   189443,   2.0000,   202581,      208,     0000,        0,        0,        0,        2,   188170,   187378,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.92111, 180801.08,        0,        0,        0,        0,       -2,     1264,     4804,      700,      692,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        1,   189414,   2.0000,   202549,      208,     0000, 5.2794408e-06,        0,        0,        3,   188211,   187419,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.00641, 180809.26,        0,        0,        0,        0,       -2,      719,     2658,      379,      374,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   189281,   2.0000,   202404,      206,     0000,        0,        0,        0,        0,   188059,   187379,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.09949, 180816.21,        0,        0,        0,        0,       -2,      628,     2323,      330,      313,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
