    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   191169,   2.0000,   204432,      209,     0000,        0,        0,        0,        1,   190936,   190042,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.06039, 183370.05,        0,        0,        0,        0,       -2,      869,     3170,      429,      458,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        1,   191045,   2.0000,   204317,      210,     0000, 5.2343689e-06,        0,        0,        3,   190679,   189866,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0386, 183376.99,        0,        0,        0,        0,       -2,      860,     3067,      431,      440,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        1,   190933,   2.0000,   204196,      211,     0000, 5.2374393e-06,        0,        0,        2,   190535,   189772,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.05679, 183383.93,        0,        0,        0,        0,       -2,      788,     2839,      427,      368,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   190877,   2.0000,   204135,      209,     0000,        0,        0,        0,        2,   190575,   189759,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.04099, 183390.86,        0,        0,        0,        0,       -2,     1333,     4896,      692,      669,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   191015,   2.0000,   204254,      210,     0000,        0,        0,        0,        2,   190812,   190044,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0773, 183397.78,        0,        0,        0,        0,       -2,      752,     2684,      399,      392,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   190782,   2.0000,   204036,      209,     0000,        0,        0,        0,        1,   191030,   189846,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.90829, 183404.73,        0,        0,        0,        0,       -2,      650,     2352,      325,      347,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
