    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   188889,   2.0000,   201965,      206,     0000,        0,        0,        0,        1,   188256,   187461,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.09219, 179647.25,        0,        0,        0,        0,       -2,      773,     2921,      436,      412,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   188435,   2.0000,   201530,      207,     0000,        0,        0,        0,        2,   187729,   186878,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0043, 179654.21,        0,        0,        0,        0,       -2,      807,     2949,      418,      438,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        1,   189561,   2.0000,   202737,      205,     0000, 5.2753467e-06,        0,        0,        1,   188646,   187934,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.03229, 179661.19,        0,        0,        0,        0,       -2,      787,     2816,      410,      402,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   190809,   2.0000,   204056,      207,     0000,        0,        0,        0,        1,   189739,   189301,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9938, 179668.14,        0,        0,        0,        0,       -2,     1366,     4705,      681,      673,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        1,   190782,   2.0000,   204025,      207,     0000, 5.2415846e-06,        0,        0,        2,   189951,   188948,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.98111, 179675.04,        0,        0,        0,        0,       -2,      715,     2705,      383,      403,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        1,   190846,   2.0000,   204033,      208,     0000, 5.2398269e-06,        0,        0,        4,   189906,   189047,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9176, 179682.03,        0,        0,        0,        0,       -2,      633,     2298,      358,      330,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
