    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   190014,   2.0000,   203216,      206,     0000,        0,        0,        0,        2,   188850,   188072,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9436, 180725.4,        0,        0,        0,        0,       -2,      825,     2980,      402,      440,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   189965,   2.0000,   203163,      205,     0000,        0,        0,        0,        5,   188940,   187966,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9263, 180732.34,        0,        0,        0,        0,       -2,      769,     2954,      386,      405,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   189842,   2.0000,   202998,      205,     0000,        0,        0,        0,        4,   188756,   187989,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.96591, 180739.29,        0,        0,        0,        0,       -2,      740,     2890,      415,      396,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   189830,   2.0000,   202992,      206,     0000,        0,        0,        0,        1,   188564,   188018,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.85571, 180746.23,        0,        0,        0,        0,       -2,     1263,     4639,      660,      646,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   189938,   2.0000,   203106,      207,     0000,        0,        0,        0,        0,   188707,   188010,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.86069, 180753.15,        0,        0,        0,        0,       -2,      734,     2700,      385,      385,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   189753,   2.0000,   202940,      206,     0000,        0,        0,        0,        2,   188473,   187687,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.99561, 180760.12,        0,        0,        0,        0,       -2,      628,     2290,      340,      329,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
