    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        2,   191136,   2.0000,   204398,      206,     0000, 1.0463754e-05,        0,        0,        3,   190607,   189912,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0069, 180269.44,        0,        0,        0,        0,       -2,      776,     2921,      409,      417,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   191207,   2.0000,   204504,      208,     0000,        0,        0,        0,        0,   190654,   189973,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.03149, 180276.41,        0,        0,        0,        0,       -2,      828,     3000,      430,      432,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   191082,   2.0000,   204330,      208,     0000,        0,        0,        0,        3,   190113,   190036,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.07321, 180283.33,        0,        0,        0,        0,       -2,      834,     2975,      411,      407,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   191278,   2.0000,   204517,      208,     0000,        0,        0,        0,        1,   190456,   189816,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0173, 180290.28,        0,        0,        0,        0,       -2,     1269,     4688,      674,      700,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   191264,   2.0000,   204499,      207,     0000,        0,        0,        0,        2,   190476,   189717,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,  449.991, 180300.12,        0,        0,        0,        0,       -2,      789,     2764,      409,      389,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   190780,   2.0000,   204027,      205,     0000,        0,        0,        0,        1,   190164,   189124,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.01599, 180307.04,        0,        0,        0,        0,       -2,      614,     2359,      321,      336,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
