    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   189148,   2.0000,   202263,      208,     0000,        0,        0,        0,        2,   187156,   186799,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.11209, 178626.55,        0,        0,        0,        0,       -2,      840,     2909,      433,      445,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        1,   188976,   2.0000,   202076,      208,     0000, 5.2916773e-06,        0,        0,        1,   187457,   186244,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.08249, 178633.5,        0,        0,        0,        0,       -2,      811,     2936,      408,      441,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   188884,   2.0000,   201982,      207,     0000,        0,        0,        0,        2,   187399,   186355,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.09879, 178640.47,        0,        0,        0,        0,       -2,      712,     2745,      398,      375,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   188853,   2.0000,   201985,      207,     0000,        0,        0,        0,        5,   187225,   186710,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9343, 178647.42,        0,        0,        0,        0,       -2,     1232,     4575,      629,      619,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   188740,   2.0000,   201797,      208,     0000,        0,        0,        0,        3,   187125,   186537,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.85309, 178654.4,        0,        0,        0,        0,       -2,      711,     2581,      409,      351,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   188763,   2.0000,   201871,      207,     0000,        0,        0,        0,        5,   187412,   186398,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.92279, 178661.34,        0,        0,        0,        0,       -2,      643,     2322,      366,      345,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
