    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   188604,   2.0000,   201670,      205,     0000,        0,        0,        0,        2,   187439,   186684,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.92261, 176369.03,        0,        0,        0,        0,       -2,      903,     3242,      459,      436,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   188198,   2.0000,   201206,      204,     0000,        0,        0,        0,        0,   186986,   186538,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.1124,   176376,        0,        0,        0,        0,       -2,      862,     3145,      445,      428,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        1,   188280,   2.0000,   201244,      206,     0000, 5.3112386e-06,        0,        0,        2,   187293,   186233,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.04929, 176382.96,        0,        0,        0,        0,       -2,      710,     2648,      372,      381,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   188209,   2.0000,   201247,      204,     0000,        0,        0,        0,        2,   187226,   186379,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.80771, 176389.88,        0,        0,        0,        0,       -2,     1035,     3890,      517,      530,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   188377,   2.0000,   201431,      206,     0000,        0,        0,        0,        1,   187597,   186552,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.89941, 176396.87,        0,        0,        0,        0,       -2,      746,     2628,      346,      367,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   188228,   2.0000,   201238,      205,     0000,        0,        0,        0,        1,   187662,   186860,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.00562, 176403.79,        0,        0,        0,        0,       -2,      611,     2225,      304,      319,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
