    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   191322,   2.0000,   204600,      209,     0000,        0,        0,        0,        3,   190174,   189393,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.94891, 183315.25,        0,        0,        0,        0,       -2,      867,     3091,      465,      459,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   191479,   2.0000,   204753,      209,     0000,        0,        0,        0,        2,   190702,   189702,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.83609, 183322.24,        0,        0,        0,        0,       -2,      852,     3103,      436,      438,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        1,   191592,   2.0000,   204842,      210,     0000, 5.2194246e-06,        0,        0,        1,   190952,   190028,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.8786, 183329.21,        0,        0,        0,        0,       -2,      792,     2956,      425,      419,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   191186,   2.0000,   204464,      210,     0000,        0,        0,        0,        2,   190779,   190070,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.87891, 183336.15,        0,        0,        0,        0,       -2,     1252,     4645,      660,      669,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        1,   191382,   2.0000,   204631,      210,     0000, 5.2251518e-06,        0,        0,        1,   191130,   190282,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.96469, 183343.08,        0,        0,        0,        0,       -2,      743,     2812,      396,      406,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   191223,   2.0000,   204492,      211,     0000,        0,        0,        0,        0,   191173,   190042,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0661, 183350.04,        0,        0,        0,        0,       -2,      635,     2311,      332,      321,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
