    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   187272,   2.0000,   200317,      208,     0000,        0,        0,        0,        0,   187520,   186826,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.19901, 177839.55,        0,        0,        0,        0,       -2,      828,     2915,      417,      410,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   187461,   2.0000,   200469,      208,     0000,        0,        0,        0,        2,   187568,   186868,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.1387, 177846.55,        0,        0,        0,        0,       -2,      882,     3067,      445,      451,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   187277,   2.0000,   200261,      208,     0000,        0,        0,        0,        3,   187340,   186773,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0571, 177853.48,        0,        0,        0,        0,       -2,      738,     2739,      385,      404,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   187637,   2.0000,   200689,      206,     0000,        0,        0,        0,        2,   187889,   187219,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.99271, 177860.43,        0,        0,        0,        0,       -2,     1258,     4463,      619,      611,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   189461,   2.0000,   202629,      207,     0000,        0,        0,        0,        1,   189862,   188974,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.8443, 177867.43,        0,        0,        0,        0,       -2,      669,     2528,      330,      366,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   189635,   2.0000,   202781,      207,     0000,        0,        0,        0,        1,   189878,   189212,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.89828, 177874.38,        0,        0,        0,        0,       -2,      665,     2317,      299,      354,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
