    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   184445,   2.0000,   197074,      203,     0000,        0,        0,        0,        1,   184643,   183467,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 38.158508, 173250.87,        0,        0,        0,        0,       -2,     1026,     3743,      508,      548,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        1,   184502,   2.0000,   197141,      202,     0000, 5.4199954e-06,        0,        0,        2,   184726,   183444,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 39.308498, 173257.81,        0,        0,        0,        0,       -2,     1133,     5177,      415,      654,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   184392,   2.0000,   197057,      203,     0000,        0,        0,        0,        1,   184293,   183563,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 40.492069, 173264.77,        0,        0,        0,        0,       -2,      697,     3615,      311,      555,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   184481,   2.0000,   197135,      204,     0000,        0,        0,        0,        2,   184147,   183332,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 41.66489, 173271.71,        0,        0,        0,        0,       -2,      568,     2110,      299,      306,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   184436,   2.0000,   197110,      204,     0000,        0,        0,        0,        2,   183938,   183036,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 42.751621, 173278.69,        0,        0,        0,        0,       -2,      576,     2191,      323,      328,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   184550,   2.0000,   197207,      203,     0000,        0,        0,        0,        2,   184153,   183427,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 44.48251, 173288.52,        0,        0,        0,        0,       -2,      524,     1897,      276,      273,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
