    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   190666,   2.0000,   203901,      207,     0000,        0,        0,        0,        1,   189753,   188587,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.03751, 181575.52,        0,        0,        0,        0,       -2,      795,     2896,      379,      405,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        1,   190308,   2.0000,   203566,      208,     0000, 5.2546398e-06,        0,        0,        2,   189181,   188506,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.08951, 181582.5,        0,        0,        0,        0,       -2,      824,     3036,      424,      417,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   190249,   2.0000,   203470,      207,     0000,        0,        0,        0,        2,   189276,   188327,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.97641, 181589.47,        0,        0,        0,        0,       -2,      773,     2896,      399,      409,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   190197,   2.0000,   203398,      207,     0000,        0,        0,        0,        2,   189142,   188612,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.97589, 181596.43,        0,        0,        0,        0,       -2,     1240,     4690,      710,      640,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        1,   190313,   2.0000,   203500,      207,     0000, 5.2545018e-06,        0,        0,        3,   189348,   188638,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.02979, 181603.36,        0,        0,        0,        0,       -2,      755,     2721,      405,      377,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   190100,   2.0000,   203268,      209,     0000,        0,        0,        0,        0,   189060,   188427,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.06821, 181610.29,        0,        0,        0,        0,       -2,      626,     2275,      369,      343,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
