    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        1,   189803,   2.0000,   202978,      209,     0000, 5.2686206e-06,        0,        0,        1,   189651,   188938,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.05859, 181347.33,        0,        0,        0,        0,       -2,      788,     2934,      431,      438,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   189615,   2.0000,   202753,      208,     0000,        0,        0,        0,        2,   189491,   188500,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.02719, 181354.29,        0,        0,        0,        0,       -2,      834,     2966,      401,      401,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   189875,   2.0000,   203055,      209,     0000,        0,        0,        0,        0,   189667,   188795,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.00671, 181361.22,        0,        0,        0,        0,       -2,      748,     2845,      424,      379,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   189732,   2.0000,   202886,      209,     0000,        0,        0,        0,        1,   189441,   188843,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.07779, 181368.2,        0,        0,        0,        0,       -2,     1261,     4695,      605,      646,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   189431,   2.0000,   202622,      209,     0000,        0,        0,        0,        1,   189420,   188597,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.03201, 181375.13,        0,        0,        0,        0,       -2,      756,     2768,      380,      416,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        2,   189295,   2.0000,   202415,      209,     0000, 1.0565519e-05,        0,        0,        2,   189413,   188488,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.93109, 181382.06,        0,        0,        0,        0,       -2,      619,     2314,      309,      337,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
