    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   190685,   2.0000,   203914,      209,     0000,        0,        0,        0,        1,   189681,   188998,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.04211, 181234.86,        0,        0,        0,        0,       -2,      824,     2917,      418,      447,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   190690,   2.0000,   203925,      209,     0000,        0,        0,        0,        1,   189689,   188824,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.95981, 181241.81,        0,        0,        0,        0,       -2,      837,     2991,      447,      437,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   190490,   2.0000,   203707,      210,     0000,        0,        0,        0,        0,   189360,   188894,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9017, 181248.74,        0,        0,        0,        0,       -2,      811,     2910,      434,      432,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   190503,   2.0000,   203688,      209,     0000,        0,        0,        0,        1,   189727,   188656,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.92679, 181255.79,        0,        0,        0,        0,       -2,     1216,     4509,      597,      658,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   190666,   2.0000,   203869,      209,     0000,        0,        0,        0,        3,   190055,   188866,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.01041, 181262.7,        0,        0,        0,        0,       -2,      722,     2707,      388,      393,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   190375,   2.0000,   203595,      208,     0000,        0,        0,        0,        2,   189817,   189073,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.01761, 181269.66,        0,        0,        0,        0,       -2,      621,     2247,      340,      337,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
