    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   190154,   2.0000,   203310,      207,     0000,        0,        0,        0,        2,   188833,   188094,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.02609, 182529.9,        0,        0,        0,        0,       -2,      824,     3134,      452,      444,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   190368,   2.0000,   203566,      207,     0000,        0,        0,        0,        1,   189344,   188290,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9761, 182536.86,        0,        0,        0,        0,       -2,      823,     3091,      452,      456,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   190323,   2.0000,   203505,      208,     0000,        0,        0,        0,        2,   189168,   188413,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0307, 182548.78,        0,        0,        0,        0,       -2,      766,     2869,      414,      423,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   190223,   2.0000,   203412,      208,     0000,        0,        0,        0,        0,   189245,   188270,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.99481, 182555.71,        0,        0,        0,        0,       -2,     1301,     4711,      638,      668,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   189653,   2.0000,   202786,      208,     0000,        0,        0,        0,        3,   188888,   188099,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.04819, 182562.64,        0,        0,        0,        0,       -2,      753,     2764,      386,      402,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   189792,   2.0000,   202925,      207,     0000,        0,        0,        0,        2,   189323,   188487,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0477, 182569.58,        0,        0,        0,        0,       -2,      682,     2422,      343,      354,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
