    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   190276,   2.0000,   203472,      210,     0000,        0,        0,        0,        2,   191481,   190394,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.08221, 182808.93,        0,        0,        0,        0,       -2,      842,     3073,      416,      441,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   190352,   2.0000,   203525,      209,     0000,        0,        0,        0,        2,   191357,   190605,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0759, 182815.87,        0,        0,        0,        0,       -2,      787,     2965,      436,      421,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        2,   190243,   2.0000,   203462,      208,     0000, 1.051287e-05,        0,        0,        5,   191293,   190326,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.13791, 182822.85,        0,        0,        0,        0,       -2,      781,     2856,      393,      418,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   190053,   2.0000,   203233,      208,     0000,        0,        0,        0,        2,   191044,   190338,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.91461, 182829.79,        0,        0,        0,        0,       -2,     1297,     4696,      589,      692,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        2,   190039,   2.0000,   203204,      208,     0000, 1.0524156e-05,        0,        0,        4,   191177,   190449,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.84381, 182836.7,        0,        0,        0,        0,       -2,      740,     2710,      385,      419,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   189961,   2.0000,   203128,      207,     0000,        0,        0,        0,        0,   191358,   190368,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.90051, 182843.65,        0,        0,        0,        0,       -2,      594,     2229,      304,      296,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
