    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   184818,   2.0000,   197538,      204,     0000,        0,        0,        0,        3,   185085,   184284,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 141.98399, 173873.58,        0,        0,        0,        0,       -2,     1017,     3687,      529,      529,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   185101,   2.0000,   197861,      204,     0000,        0,        0,        0,        3,   185765,   184509,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 143.5535, 173883.41,        0,        0,        0,        0,       -2,     1956,     5780,     1066,      728,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   184913,   2.0000,   197649,      203,     0000,        0,        0,        0,        1,   185457,   184644,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 144.7321, 173890.38,        0,        0,        0,        0,       -2,     1335,     3748,      556,      540,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   185056,   2.0000,   197782,      204,     0000,        0,        0,        0,        3,   185768,   184736,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 145.8772, 173897.31,        0,        0,        0,        0,       -2,      593,     2271,      281,      311,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   184761,   2.0000,   197505,      203,     0000,        0,        0,        0,        0,   185450,   184493,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 147.0239, 173904.24,        0,        0,        0,        0,       -2,      616,     2309,      298,      325,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        2,   184652,   2.0000,   197374,      203,     0000, 1.0831185e-05,        0,        0,        4,   185173,   184515,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 148.2282, 173911.19,        0,        0,        0,        0,       -2,      568,     1995,      291,      295,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
