    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   188112,   2.0000,   201151,      203,     0000,        0,        0,        0,        3,   188353,   187323,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9758, 177389.44,        0,        0,        0,        0,       -2,      818,     2953,      430,      426,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   188017,   2.0000,   201084,      203,     0000,        0,        0,        0,        1,   188205,   187142,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.98941, 177396.38,        0,        0,        0,        0,       -2,      819,     3077,      440,      441,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   188127,   2.0000,   201171,      204,     0000,        0,        0,        0,        1,   187953,   187370,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.04321, 177403.34,        0,        0,        0,        0,       -2,      745,     2732,      386,      374,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   187926,   2.0000,   200967,      203,     0000,        0,        0,        0,        1,   187814,   187060,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.96579, 177410.28,        0,        0,        0,        0,       -2,     1176,     4169,      618,      602,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   187831,   2.0000,   200847,      204,     0000,        0,        0,        0,        4,   187615,   186710,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9649, 177417.23,        0,        0,        0,        0,       -2,      774,     2735,      412,      385,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   188080,   2.0000,   201101,      204,     0000,        0,        0,        0,        0,   187624,   186978,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.01859, 177424.21,        0,        0,        0,        0,       -2,      591,     2259,      312,      326,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
