    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   184819,   2.0000,   197509,      207,     0000,        0,        0,        0,        3,   184896,   183955,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 94.943298, 173591.06,        0,        0,        0,        0,       -2,     1077,     3862,      533,      562,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        1,   184525,   2.0000,   197213,      205,     0000, 5.4193199e-06,        0,        0,        2,   184585,   183906,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 95.985138, 173598.01,        0,        0,        0,        0,       -2,     1828,     5314,      536,      681,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   184439,   2.0000,   197113,      206,     0000,        0,        0,        0,        0,   184699,   183945,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 97.081329, 173604.97,        0,        0,        0,        0,       -2,     1114,     3824,      382,      588,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        1,   184379,   2.0000,   197048,      206,     0000, 5.4236111e-06,        0,        0,        5,   184757,   184024,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 98.272163, 173611.9,        0,        0,        0,        0,       -2,      533,     2195,      314,      283,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   184516,   2.0000,   197176,      206,     0000,        0,        0,        0,        1,   184854,   184042,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 99.591492, 173618.86,        0,        0,        0,        0,       -2,      570,     2113,      320,      334,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        1,   184380,   2.0000,   197063,      206,     0000, 5.4235817e-06,        0,        0,        1,   184365,   183774,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 101.1147, 173628.72,        0,        0,        0,        0,       -2,      531,     1982,      266,      292,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
