    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   186724,   2.0000,   199651,      206,     0000,        0,        0,        0,        2,   186612,   185920,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 434.6467, 175632.01,        0,        0,        0,        0,       -2,     1028,     3803,      526,      536,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        1,   186669,   2.0000,   199580,      208,     0000, 5.3570759e-06,        0,        0,        1,   186440,   185795,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 435.6911, 175638.98,        0,        0,        0,        0,       -2,      862,     3947,      440,      559,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   186806,   2.0000,   199728,      206,     0000,        0,        0,        0,        0,   186762,   185861,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 436.90799, 175645.92,        0,        0,        0,        0,       -2,      687,     2356,      321,      311,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   186442,   2.0000,   199334,      205,     0000,        0,        0,        0,        2,   186467,   185452,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 438.00659, 175652.87,        0,        0,        0,        0,       -2,      750,     2815,      370,      408,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   186567,   2.0000,   199446,      206,     0000,        0,        0,        0,        0,   186457,   185590,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 439.12299, 175659.84,        0,        0,        0,        0,       -2,      741,     2707,      357,      398,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   186645,   2.0000,   199538,      206,     0000,        0,        0,        0,        0,   186448,   185698,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 440.8132, 175669.68,        0,        0,        0,        0,       -2,      614,     2221,      327,      319,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
