    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   188698,   2.0000,   201764,      208,     0000,        0,        0,        0,        3,   188147,   187283,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.02231, 180555.1,        0,        0,        0,        0,       -2,      815,     3004,      420,      435,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   189912,   2.0000,   203072,      209,     0000,        0,        0,        0,        0,   189671,   188613,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.01389, 180562.11,        0,        0,        0,        0,       -2,      806,     2974,      439,      398,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   191045,   2.0000,   204252,      209,     0000,        0,        0,        0,        3,   190924,   189553,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.05811, 180569.08,        0,        0,        0,        0,       -2,      837,     2931,      418,      441,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        2,   191249,   2.0000,   204506,      209,     0000, 1.0457571e-05,        0,        0,        3,   191047,   189745,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.99249,   180576,        0,        0,        0,        0,       -2,     1310,     4676,      661,      667,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   191105,   2.0000,   204371,      208,     0000,        0,        0,        0,        2,   190614,   189716,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9816, 180582.95,        0,        0,        0,        0,       -2,      726,     2732,      393,      388,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   191050,   2.0000,   204304,      207,     0000,        0,        0,        0,        0,   190155,   189814,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.01651, 180589.87,        0,        0,        0,        0,       -2,      659,     2352,      346,      325,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
