    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   189390,   2.0000,   202535,      205,     0000,        0,        0,        0,        2,   190748,   189710,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.08389, 182307.73,        0,        0,        0,        0,       -2,      810,     3016,      432,      418,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   189213,   2.0000,   202351,      205,     0000,        0,        0,        0,        1,   190492,   189778,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.05969, 182314.68,        0,        0,        0,        0,       -2,      796,     2942,      416,      418,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        2,   189059,   2.0000,   202181,      205,     0000, 1.0578708e-05,        0,        0,        4,   190391,   189616,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9863, 182321.62,        0,        0,        0,        0,       -2,      799,     2905,      442,      424,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   189384,   2.0000,   202500,      205,     0000,        0,        0,        0,        3,   190709,   189690,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.8356, 182328.57,        0,        0,        0,        0,       -2,     1346,     4706,      639,      698,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   189004,   2.0000,   202105,      206,     0000,        0,        0,        0,        1,   189950,   189362,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.91281, 182335.48,        0,        0,        0,        0,       -2,      733,     2753,      391,      415,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        1,   189187,   2.0000,   202302,      206,     0000, 5.2857754e-06,        0,        0,        3,   190136,   189171,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.02829, 182342.43,        0,        0,        0,        0,       -2,      646,     2302,      321,      334,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
