    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        1,   188239,   2.0000,   201304,      207,     0000, 5.3123954e-06,        0,        0,        1,   187283,   186482,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.03809, 178401.63,        0,        0,        0,        0,       -2,      782,     2925,      408,      420,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   188274,   2.0000,   201304,      207,     0000,        0,        0,        0,        4,   187284,   186500,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0195, 178408.57,        0,        0,        0,        0,       -2,      829,     2987,      405,      407,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   188275,   2.0000,   201312,      208,     0000,        0,        0,        0,        1,   187423,   186600,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.14771, 178415.51,        0,        0,        0,        0,       -2,      759,     2851,      375,      422,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        1,   188234,   2.0000,   201262,      207,     0000, 5.3125365e-06,        0,        0,        1,   187549,   186685,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.05661, 178422.45,        0,        0,        0,        0,       -2,     1277,     4545,      655,      633,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   188258,   2.0000,   201339,      207,     0000,        0,        0,        0,        0,   187764,   186906,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.87479, 178429.4,        0,        0,        0,        0,       -2,      761,     2744,      402,      393,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        1,   188097,   2.0000,   201113,      207,     0000, 5.3164059e-06,        0,        0,        2,   187535,   186846,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.71729, 178436.34,        0,        0,        0,        0,       -2,      620,     2286,      302,      330,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
