    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        1,   187005,   2.0000,   199952,      204,     0000, 5.3474506e-06,        0,        0,        3,   186375,   185442,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.00381, 176539.21,        0,        0,        0,        0,       -2,      909,     3236,      473,      510,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        1,   187180,   2.0000,   200172,      204,     0000, 5.3424511e-06,        0,        0,        1,   186761,   185574,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0314, 176546.17,        0,        0,        0,        0,       -2,      845,     3054,      384,      417,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   186907,   2.0000,   199844,      206,     0000,        0,        0,        0,        0,   186675,   185492,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.01489, 176553.13,        0,        0,        0,        0,       -2,      709,     2671,      374,      381,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        1,   186908,   2.0000,   199840,      206,     0000, 5.3502258e-06,        0,        0,        1,   186663,   185815,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.91141, 176560.09,        0,        0,        0,        0,       -2,     1091,     4011,      571,      584,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   186846,   2.0000,   199776,      205,     0000,        0,        0,        0,        1,   186293,   186080,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.88062, 176567.04,        0,        0,        0,        0,       -2,      715,     2544,      377,      369,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   186912,   2.0000,   199850,      206,     0000,        0,        0,        0,        1,   186556,   185837,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9122, 176573.99,        0,        0,        0,        0,       -2,      617,     2290,      332,      315,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
