    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        1,   190326,   2.0000,   203527,      209,     0000, 5.2541429e-06,        0,        0,        2,   190949,   189750,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 90.678253, 183809.64,        0,        0,        0,        0,       -2,      857,     3084,      444,      454,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   190102,   2.0000,   203257,      209,     0000,        0,        0,        0,        1,   190556,   189319,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 87.027557, 183816.65,        0,        0,        0,        0,       -2,      815,     2904,      445,      436,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   190330,   2.0000,   203527,      209,     0000,        0,        0,        0,        0,   190492,   189631,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 83.427223, 183823.59,        0,        0,        0,        0,       -2,      763,     2751,      398,      373,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   190106,   2.0000,   203268,      209,     0000,        0,        0,        0,        0,   190073,   189410,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 79.955719, 183830.57,        0,        0,        0,        0,       -2,      957,     3516,      508,      514,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   189917,   2.0000,   203090,      208,     0000,        0,        0,        0,        2,   189976,   189268,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 76.854218, 183837.51,        0,        0,        0,        0,       -2,      637,     2470,      329,      367,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   189954,   2.0000,   203114,      208,     0000,        0,        0,        0,        1,   190040,   189251,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 74.184967, 183844.48,        0,        0,        0,        0,       -2,      606,     2167,      322,      313,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
