    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   189073,   2.0000,   202192,      206,     0000,        0,        0,        0,        1,   188809,   187823,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.98911, 180214.6,        0,        0,        0,        0,       -2,      762,     2873,      389,      406,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        1,   189106,   2.0000,   202238,      207,     0000, 5.2880395e-06,        0,        0,        1,   188783,   187970,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.97659, 180221.54,        0,        0,        0,        0,       -2,      809,     2903,      424,      423,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   189083,   2.0000,   202204,      207,     0000,        0,        0,        0,        2,   188756,   187756,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.91061, 180228.5,        0,        0,        0,        0,       -2,      766,     2874,      428,      419,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   188903,   2.0000,   202010,      207,     0000,        0,        0,        0,        2,   188415,   187412,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.81979, 180235.42,        0,        0,        0,        0,       -2,     1308,     4723,      688,      670,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   188836,   2.0000,   201970,      207,     0000,        0,        0,        0,        1,   188138,   187256,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.8996, 180242.38,        0,        0,        0,        0,       -2,      809,     2830,      437,      392,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   189050,   2.0000,   202164,      208,     0000,        0,        0,        0,        0,   188283,   187332,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.02499, 180249.33,        0,        0,        0,        0,       -2,      587,     2243,      306,      312,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
