    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        1,   189876,   2.0000,   203069,      207,     0000, 5.266595e-06,        0,        0,        1,   189119,   187929,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9614, 181630.36,        0,        0,        0,        0,       -2,      874,     3087,      443,      463,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   189903,   2.0000,   203084,      205,     0000,        0,        0,        0,        0,   189205,   188069,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.01511, 181637.32,        0,        0,        0,        0,       -2,      828,     3030,      430,      436,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   190055,   2.0000,   203233,      206,     0000,        0,        0,        0,        1,   189348,   188313,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,  450.008, 181644.32,        0,        0,        0,        0,       -2,      794,     2880,      416,      409,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   189693,   2.0000,   202848,      207,     0000,        0,        0,        0,        0,   188879,   188186,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.00879, 181651.31,        0,        0,        0,        0,       -2,     1269,     4665,      661,      676,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        1,   189727,   2.0000,   202895,      208,     0000, 5.2707311e-06,        0,        0,        3,   188827,   188289,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9964, 181659.49,        0,        0,        0,        0,       -2,      763,     2674,      440,      368,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   189644,   2.0000,   202795,      207,     0000,        0,        0,        0,        3,   188847,   187806,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.97269, 181666.43,        0,        0,        0,        0,       -2,      629,     2267,      329,      339,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
