    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   190287,   2.0000,   203484,      207,     0000,        0,        0,        0,        1,   191640,   190582,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.14182, 183144.11,        0,        0,        0,        0,       -2,      829,     3006,      435,      434,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        1,   190543,   2.0000,   203740,      208,     0000, 5.2481592e-06,        0,        0,        1,   191550,   190600,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.87411, 183151.55,        0,        0,        0,        0,       -2,      859,     3028,      459,      436,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        1,   190035,   2.0000,   203243,      208,     0000, 5.2621885e-06,        0,        0,        2,   190959,   190080,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.78171, 183158.48,        0,        0,        0,        0,       -2,      812,     2940,      409,      437,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   190360,   2.0000,   203540,      208,     0000,        0,        0,        0,        1,   191083,   190490,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.8685, 183165.4,        0,        0,        0,        0,       -2,     1266,     4688,      646,      664,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        1,   190002,   2.0000,   203163,      209,     0000, 5.2631025e-06,        0,        0,        1,   190526,   189994,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.10349, 183172.4,        0,        0,        0,        0,       -2,      778,     2730,      386,      392,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   190077,   2.0000,   203220,      208,     0000,        0,        0,        0,        1,   190493,   189759,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.19409, 183179.33,        0,        0,        0,        0,       -2,      646,     2312,      320,      324,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
