    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   187660,   2.0000,   200704,      210,     0000,        0,        0,        0,        1,   187370,   186528,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.01181, 178456.34,        0,        0,        0,        0,       -2,      787,     2876,      412,      419,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        1,   189242,   2.0000,   202353,      208,     0000, 5.2842392e-06,        0,        0,        1,   189058,   188078,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.1713, 178463.31,        0,        0,        0,        0,       -2,      796,     2998,      457,      458,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   190430,   2.0000,   203621,      209,     0000,        0,        0,        0,        1,   190103,   189391,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.2207, 178470.26,        0,        0,        0,        0,       -2,      762,     2795,      378,      416,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   189801,   2.0000,   202972,      207,     0000,        0,        0,        0,        4,   189239,   188702,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,  450.259, 178477.22,        0,        0,        0,        0,       -2,     1254,     4539,      655,      658,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   190028,   2.0000,   203191,      208,     0000,        0,        0,        0,        1,   189531,   188476,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0737, 178484.21,        0,        0,        0,        0,       -2,      679,     2701,      395,      362,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   189981,   2.0000,   203153,      207,     0000,        0,        0,        0,        2,   189240,   188459,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.96381, 178491.19,        0,        0,        0,        0,       -2,      632,     2336,      315,      352,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
