    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   189667,   2.0000,   202825,      206,     0000,        0,        0,        0,        3,   188823,   187726,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.93619, 180439.68,        0,        0,        0,        0,       -2,      796,     2953,      414,      412,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   189719,   2.0000,   202869,      207,     0000,        0,        0,        0,        2,   188813,   187810,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0159, 180446.62,        0,        0,        0,        0,       -2,      742,     3008,      394,      429,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        1,   189687,   2.0000,   202819,      208,     0000, 5.2718426e-06,        0,        0,        2,   188766,   187890,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.96591, 180453.56,        0,        0,        0,        0,       -2,      841,     2987,      430,      434,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   189773,   2.0000,   202926,      208,     0000,        0,        0,        0,        0,   188880,   188226,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.85849, 180460.51,        0,        0,        0,        0,       -2,     1319,     4815,      652,      698,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        1,   189597,   2.0000,   202720,      209,     0000, 5.2743451e-06,        0,        0,        3,   188864,   187846,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9729, 180470.36,        0,        0,        0,        0,       -2,      724,     2618,      363,      359,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   189605,   2.0000,   202737,      207,     0000,        0,        0,        0,        2,   188759,   187846,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.06421, 180477.31,        0,        0,        0,        0,       -2,      638,     2387,      334,      382,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
