    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   191065,   2.0000,   204316,      208,     0000,        0,        0,        0,        1,   191041,   190162,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.05261, 182420.24,        0,        0,        0,        0,       -2,      795,     3085,      436,      444,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        1,   190935,   2.0000,   204179,      208,     0000, 5.2373845e-06,        0,        0,        4,   190729,   189980,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.01761, 182427.2,        0,        0,        0,        0,       -2,      819,     3117,      436,      436,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   190883,   2.0000,   204134,      207,     0000,        0,        0,        0,        1,   190647,   189529,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.06741, 182434.11,        0,        0,        0,        0,       -2,      790,     2911,      415,      420,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   191046,   2.0000,   204260,      206,     0000,        0,        0,        0,        0,   190472,   189706,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9465, 182441.06,        0,        0,        0,        0,       -2,     1262,     4834,      673,      701,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   190858,   2.0000,   204080,      207,     0000,        0,        0,        0,        0,   190266,   189415,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.88321,   182448,        0,        0,        0,        0,       -2,      747,     2734,      390,      404,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   190866,   2.0000,   204102,      206,     0000,        0,        0,        0,        1,   190006,   189175,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9064, 182454.98,        0,        0,        0,        0,       -2,      586,     2272,      303,      317,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
