    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   185694,   2.0000,   198472,      203,     0000,        0,        0,        0,        1,   185544,   184501,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 66.513924, 173420.92,        0,        0,        0,        0,       -2,     1081,     3884,      525,      559,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   185687,   2.0000,   198466,      203,     0000,        0,        0,        0,        3,   185315,   184665,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 67.632507, 173427.86,        0,        0,        0,        0,       -2,     1505,     5239,      467,      680,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   185574,   2.0000,   198291,      203,     0000,        0,        0,        0,        0,   185202,   184505,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 68.770866, 173434.8,        0,        0,        0,        0,       -2,      815,     3816,      390,      512,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   185701,   2.0000,   198445,      203,     0000,        0,        0,        0,        1,   185368,   184620,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 69.898438, 173441.71,        0,        0,        0,        0,       -2,      603,     2250,      320,      321,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   185693,   2.0000,   198416,      204,     0000,        0,        0,        0,        2,   185328,   184448,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 71.138611, 173448.6,        0,        0,        0,        0,       -2,      655,     2237,      313,      316,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        1,   185693,   2.0000,   198411,      204,     0000, 5.3852326e-06,        0,        0,        4,   185070,   184435,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 72.804749, 173458.5,        0,        0,        0,        0,       -2,      528,     1918,      281,      290,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
