    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   186572,   2.0000,   199472,      204,     0000,        0,        0,        0,        1,   185617,   184931,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 274.5224, 174669.05,        0,        0,        0,        0,       -2,     1062,     3764,      530,      524,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        2,   186547,   2.0000,   199459,      204,     0000, 1.0721159e-05,        0,        0,        3,   185956,   185070,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 275.63531,   174676,        0,        0,        0,        0,       -2,     1630,     5028,      664,      679,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   186544,   2.0000,   199392,      203,     0000,        0,        0,        0,        0,   186191,   185376,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 276.78989, 174682.94,        0,        0,        0,        0,       -2,     1353,     4086,      386,      762,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   186322,   2.0000,   199189,      204,     0000,        0,        0,        0,        2,   185953,   185305,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 277.80301, 174689.89,        0,        0,        0,        0,       -2,      710,     2556,      383,      385,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        1,   186678,   2.0000,   199567,      204,     0000, 5.3568176e-06,        0,        0,        2,   186305,   185499,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 278.8757, 174696.89,        0,        0,        0,        0,       -2,      707,     2462,      375,      373,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   186144,   2.0000,   198986,      203,     0000,        0,        0,        0,        0,   185770,   185123,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 280.24399, 174703.8,        0,        0,        0,        0,       -2,      566,     2022,      284,      283,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
