    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   190884,   2.0000,   204126,      208,     0000,        0,        0,        0,        0,   190501,   189320,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.07281, 181517.62,        0,        0,        0,        0,       -2,      810,     3048,      426,      430,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   190827,   2.0000,   204083,      207,     0000,        0,        0,        0,        2,   190144,   189445,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.99411, 181524.62,        0,        0,        0,        0,       -2,      800,     3030,      432,      418,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   190798,   2.0000,   204054,      208,     0000,        0,        0,        0,        2,   190192,   189378,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.03381, 181531.6,        0,        0,        0,        0,       -2,      781,     2948,      415,      416,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        1,   190546,   2.0000,   203773,      207,     0000, 5.2480766e-06,        0,        0,        1,   190170,   188914,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,  450.008, 181538.55,        0,        0,        0,        0,       -2,     1294,     4796,      697,      658,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   190804,   2.0000,   204018,      207,     0000,        0,        0,        0,        2,   190205,   189126,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.96631, 181545.5,        0,        0,        0,        0,       -2,      713,     2660,      380,      374,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   190630,   2.0000,   203866,      209,     0000,        0,        0,        0,        3,   189742,   189209,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.8992, 181552.48,        0,        0,        0,        0,       -2,      653,     2318,      334,      363,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
