    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   190995,   2.0000,   204227,      207,     0000,        0,        0,        0,        1,   190213,   189357,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0412, 180609.96,        0,        0,        0,        0,       -2,      825,     2966,      439,      414,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   190774,   2.0000,   203963,      208,     0000,        0,        0,        0,        3,   190137,   189161,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9368, 180616.93,        0,        0,        0,        0,       -2,      806,     2951,      412,      406,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   190876,   2.0000,   204120,      206,     0000,        0,        0,        0,        0,   190147,   189249,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.77139, 180623.87,        0,        0,        0,        0,       -2,      775,     2882,      387,      409,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   190576,   2.0000,   203783,      205,     0000,        0,        0,        0,        1,   189762,   189006,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.73859, 180630.81,        0,        0,        0,        0,       -2,     1294,     4799,      666,      691,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   190775,   2.0000,   204002,      204,     0000,        0,        0,        0,        1,   189840,   189322,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.86859, 180640.72,        0,        0,        0,        0,       -2,      751,     2721,      393,      366,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   190525,   2.0000,   203710,      205,     0000,        0,        0,        0,        1,   189560,   188589,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.02161, 180647.68,        0,        0,        0,        0,       -2,      625,     2267,      351,      324,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
