    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   187564,   2.0000,   200626,      208,     0000,        0,        0,        0,        1,   188210,   186949,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.15601, 177103.99,        0,        0,        0,        0,       -2,      868,     3086,      428,      452,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   187740,   2.0000,   200778,      206,     0000,        0,        0,        0,        1,   188224,   187435,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.99081, 177113.8,        0,        0,        0,        0,       -2,      800,     2935,      358,      415,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        1,   187569,   2.0000,   200591,      205,     0000, 5.3313714e-06,        0,        0,        2,   188074,   187187,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0946, 177120.8,        0,        0,        0,        0,       -2,      701,     2757,      384,      387,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   187485,   2.0000,   200496,      204,     0000,        0,        0,        0,        0,   187922,   187265,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.02271, 177127.73,        0,        0,        0,        0,       -2,     1165,     4069,      570,      578,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   187528,   2.0000,   200553,      205,     0000,        0,        0,        0,        2,   188179,   187276,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.01831, 177134.69,        0,        0,        0,        0,       -2,      788,     2660,      410,      396,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   187300,   2.0000,   200324,      205,     0000,        0,        0,        0,        1,   187839,   187169,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.8627, 177141.67,        0,        0,        0,        0,       -2,      608,     2133,      320,      293,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
