    #,   Z-Stage, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
   14,       -23,        0,    92764,   1.0000,    99152,    49043,     0000,        0,        0,        0,        0,    93020,    92518,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.95612, 172798.87,        0,        0,        0,        0,       -2,      448,     1720,      227,      228,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   15,     -22.8,        0,    92799,   1.0000,    99205,    48954,     0000,        0,        0,        0,        1,    93110,    92523,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.95215, 172801.07,        0,        0,        0,        0,       -2,      474,     1730,      258,      256,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   16,     -22.6,        0,    92918,   1.0000,    99329,    49000,     0000,        0,        0,        0,        0,    93212,    92686,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.96179, 172803.16,        0,        0,        0,        0,       -2,      488,     1701,      237,      248,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   17,     -22.4,        0,    92820,   1.0000,    99207,    48941,     0000,        0,        0,        0,        0,    93100,    92691,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.973209, 172805.25,        0,        0,        0,        0,       -2,      473,     1826,      258,      259,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   18,     -22.2,        0,    92778,   1.0000,    99154,    48724,     0000,        0,        0,        0,        2,    93049,    92681,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.976561, 172807.33,        0,        0,        0,        0,       -2,      468,     1776,      236,      279,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   19,       -22,        0,    92751,   1.0000,    99129,    48620,     0000,        0,        0,        0,        0,    93075,    92704,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.981291, 172809.42,        0,        0,        0,        0,       -2,      476,     1765,      256,      274,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   20,     -21.8,        0,    92735,   1.0000,    99131,    48666,     0000,        0,        0,        0,        0,    93118,    92645,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.98056, 172811.52,        0,        0,        0,        0,       -2,      463,     1735,      260,      246,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   21,     -21.6,        0,    92724,   1.0000,    99122,    48689,     0000,        0,        0,        0,        2,    93087,    92732,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.97488, 172813.61,        0,        0,        0,        0,       -2,      471,     1741,      246,      259,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   22,     -21.4,        0,    92748,   1.0000,    99141,    48748,     0000,        0,        0,        0,        0,    93135,    92737,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.978239, 172815.73,        0,        0,        0,        0,       -2,      467,     1748,      244,      274,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   23,     -21.2,        0,    92658,   1.0000,    99042,    48637,     0000,        0,        0,        0,        0,    93110,    92553,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.977449, 172817.82,        0,        0,        0,        0,       -2,      492,     1785,      271,      253,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   24,       -21,        0,    92776,   1.0000,    99157,    48767,     0000,        0,        0,        0,        0,    93214,    92665,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.97205, 172819.92,        0,        0,        0,        0,       -2,      497,     1783,      297,      258,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   25,     -20.8,        0,    92646,   1.0000,    99022,    48760,     0000,        0,        0,        0,        2,    93059,    92581,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.96426, 172822.04,        0,        0,        0,        0,       -2,      462,     1716,      205,      250,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   26,     -20.6,        0,    92643,   1.0000,    99034,    48878,     0000,        0,        0,        0,        0,    93085,    92568,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.96039, 172824.13,        0,        0,        0,        0,       -2,      475,     1689,      243,      229,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   27,     -20.4,        1,    92739,   1.0000,    99137,    49058,     0000, 1.078295e-05,        0,        0,        2,    93193,    92651,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.951811, 172826.24,        0,        0,        0,        0,       -2,      460,     1684,      242,      225,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   28,     -20.2,        0,    92822,   1.0000,    99193,    49125,     0000,        0,        0,        0,        0,    93182,    92774,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.941099, 172828.33,        0,        0,        0,        0,       -2,      488,     1799,      257,      236,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   29,       -20,        1,    92773,   1.0000,    99157,    49275,     0000, 1.0778998e-05,        0,        0,        2,    93042,    92771,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.93503, 172830.42,        0,        0,        0,        0,       -2,      490,     1786,      245,      253,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
   30,     -19.8,        0,    92622,   1.0000,    99003,    49368,     0000,        0,        0,        0,        1,    92848,    92655,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 24.93268, 172832.51,        0,        0,        0,        0,       -2,      497,     1697,      233,      255,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
