    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   189841,   2.0000,   203018,      208,     0000,        0,        0,        0,        1,   191052,   190394,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9949, 182863.64,        0,        0,        0,        0,       -2,      885,     3167,      467,      482,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        1,   189809,   2.0000,   202977,      208,     0000, 5.2684541e-06,        0,        0,        3,   191140,   190409,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.94949, 182870.57,        0,        0,        0,        0,       -2,      853,     3042,      422,      434,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        1,   189744,   2.0000,   202894,      209,     0000, 5.2702589e-06,        0,        0,        2,   191044,   190394,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.74081, 182877.52,        0,        0,        0,        0,       -2,      819,     3030,      440,      455,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   189723,   2.0000,   202854,      208,     0000,        0,        0,        0,        2,   190952,   190341,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.79721, 182884.45,        0,        0,        0,        0,       -2,     1276,     4625,      635,      670,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   189956,   2.0000,   203115,      209,     0000,        0,        0,        0,        2,   191098,   190411,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.96979, 182891.41,        0,        0,        0,        0,       -2,      746,     2758,      417,      407,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        1,   189485,   2.0000,   202599,      208,     0000, 5.2774626e-06,        0,        0,        3,   190527,   189684,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.00601, 182898.34,        0,        0,        0,        0,       -2,      647,     2335,      349,      315,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
