    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   191652,   2.0000,   204942,      206,     0000,        0,        0,        0,        1,   191737,   191155,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 53.31369, 183925.35,        0,        0,        0,        0,       -2,      871,     3113,      443,      449,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   191802,   2.0000,   205094,      206,     0000,        0,        0,        0,        0,   191994,   191084,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 52.049648, 183932.27,        0,        0,        0,        0,       -2,      787,     2962,      399,      416,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        1,   191782,   2.0000,   205044,      205,     0000, 5.2142537e-06,        0,        0,        2,   191786,   191036,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 50.899261, 183939.21,        0,        0,        0,        0,       -2,      807,     2900,      413,      419,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        1,   191840,   2.0000,   205113,      207,     0000, 5.2126772e-06,        0,        0,        1,   191810,   191004,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 49.859161, 183946.2,        0,        0,        0,        0,       -2,      894,     3378,      466,      490,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   191527,   2.0000,   204762,      206,     0000,        0,        0,        0,        2,   191575,   190731,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 48.952702, 183953.15,        0,        0,        0,        0,       -2,      665,     2398,      330,      362,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   191569,   2.0000,   204847,      208,     0000,        0,        0,        0,        1,   191874,   191052,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 48.139858, 183960.08,        0,        0,        0,        0,       -2,      557,     2007,      258,      268,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
