    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   187067,   2.0000,   200057,      206,     0000,        0,        0,        0,        0,   186633,   185979,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.99579, 176198.92,        0,        0,        0,        0,       -2,      871,     3202,      491,      474,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   187347,   2.0000,   200326,      206,     0000,        0,        0,        0,        4,   186924,   185891,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.1329, 176205.87,        0,        0,        0,        0,       -2,      775,     3072,      415,      432,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   187130,   2.0000,   200107,      205,     0000,        0,        0,        0,        0,   186296,   185666,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.15411, 176212.85,        0,        0,        0,        0,       -2,      724,     2563,      379,      379,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        1,   187202,   2.0000,   200144,      206,     0000, 5.3418233e-06,        0,        0,        1,   186127,   185412,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.1474, 176219.77,        0,        0,        0,        0,       -2,     1023,     3645,      553,      577,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   186903,   2.0000,   199848,      207,     0000,        0,        0,        0,        0,   185858,   184950,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.05399, 176226.71,        0,        0,        0,        0,       -2,      672,     2548,      348,      338,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   186938,   2.0000,   199899,      206,     0000,        0,        0,        0,        2,   186080,   184962,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.97659, 176233.63,        0,        0,        0,        0,       -2,      601,     2162,      304,      308,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
