    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        1,   191286,   2.0000,   204522,      207,     0000, 5.2277741e-06,        0,        0,        1,   191543,   190622,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.96201, 182082.39,        0,        0,        0,        0,       -2,      824,     3029,      430,      443,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   190992,   2.0000,   204239,      208,     0000,        0,        0,        0,        0,   191335,   190751,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.92279, 182089.36,        0,        0,        0,        0,       -2,      868,     3084,      452,      440,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   190980,   2.0000,   204231,      208,     0000,        0,        0,        0,        0,   191715,   190846,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.99731, 182096.27,        0,        0,        0,        0,       -2,      799,     2993,      419,      438,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   190910,   2.0000,   204142,      208,     0000,        0,        0,        0,        0,   191726,   190829,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0929, 182103.23,        0,        0,        0,        0,       -2,     1219,     4819,      645,      667,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   191050,   2.0000,   204287,      208,     0000,        0,        0,        0,        0,   191824,   190858,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.09341, 182110.17,        0,        0,        0,        0,       -2,      753,     2725,      408,      383,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   190889,   2.0000,   204107,      206,     0000,        0,        0,        0,        2,   191730,   190694,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.98511, 182117.11,        0,        0,        0,        0,       -2,      591,     2253,      324,      304,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
