    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   189312,   2.0000,   202466,      206,     0000,        0,        0,        0,        1,   189540,   188630,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9931, 181405.03,        0,        0,        0,        0,       -2,      871,     3090,      458,      400,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   189128,   2.0000,   202254,      209,     0000,        0,        0,        0,        3,   189282,   188525,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.97311, 181411.98,        0,        0,        0,        0,       -2,      828,     3046,      449,      457,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   189152,   2.0000,   202277,      208,     0000,        0,        0,        0,        2,   189357,   188512,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.95709, 181418.93,        0,        0,        0,        0,       -2,      731,     2780,      357,      375,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   189053,   2.0000,   202157,      210,     0000,        0,        0,        0,        2,   189233,   188424,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.92041, 181425.87,        0,        0,        0,        0,       -2,     1294,     4734,      665,      647,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   189025,   2.0000,   202129,      211,     0000,        0,        0,        0,        2,   188993,   188477,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,  449.952, 181432.83,        0,        0,        0,        0,       -2,      821,     2753,      412,      372,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   189034,   2.0000,   202116,      211,     0000,        0,        0,        0,        1,   189271,   188262,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0625, 181439.8,        0,        0,        0,        0,       -2,      633,     2311,      306,      356,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
