    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   188281,   2.0000,   201343,      206,     0000,        0,        0,        0,        2,   187601,   186647,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.96829, 177723.79,        0,        0,        0,        0,       -2,      792,     2949,      411,      422,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   188148,   2.0000,   201201,      207,     0000,        0,        0,        0,        1,   187362,   186552,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9537, 177730.74,        0,        0,        0,        0,       -2,      817,     3095,      431,      464,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        0,   188186,   2.0000,   201197,      208,     0000,        0,        0,        0,        1,   187394,   186418,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 450.0192, 177737.68,        0,        0,        0,        0,       -2,      771,     2757,      391,      404,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   187827,   2.0000,   200854,      207,     0000,        0,        0,        0,        2,   187071,   186220,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.95209, 177750.76,        0,        0,        0,        0,       -2,     1134,     4244,      593,      614,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        1,   187874,   2.0000,   200839,      209,     0000, 5.3227163e-06,        0,        0,        3,   187239,   186561,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.91422, 177757.72,        0,        0,        0,        0,       -2,      749,     2739,      381,      388,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        1,   187942,   2.0000,   200947,      207,     0000, 5.3207905e-06,        0,        0,        2,   187529,   186567,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 449.9382, 177764.67,        0,        0,        0,        0,       -2,      603,     2276,      333,      317,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
