    #,       tth, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,   A34410,     kpow,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,     pd17,     pd18,   agdaq1,   agdaq2,   agdaq3,   agdaq4,   CTEMPB
    0,        10,        0,   186095,   2.0000,   199004,      206,     0000,        0,        0,        0,        0,   186005,   184904,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 396.75781, 175404.49,        0,        0,        0,        0,       -2,     1018,     3858,      544,      568,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    1,        16,        0,   186151,   2.0000,   199042,      207,     0000,        0,        0,        0,        1,   186146,   185060,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 398.50711, 175414.29,        0,        0,        0,        0,       -2,      875,     5345,      444,      698,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    2,        22,        2,   185865,   2.0000,   198724,      206,     0000, 1.0760498e-05,        0,        0,        5,   185772,   184882,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 399.48749, 175421.22,        0,        0,        0,        0,       -2,      631,     2494,      353,      361,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    3,        28,        0,   185868,   2.0000,   198751,      206,     0000,        0,        0,        0,        3,   185792,   184999,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 400.5849, 175428.13,        0,        0,        0,        0,       -2,      739,     2745,      388,      362,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    4,        34,        0,   185819,   2.0000,   198660,      208,     0000,        0,        0,        0,        1,   185727,   184807,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 401.69061, 175435.07,        0,        0,        0,        0,       -2,      725,     2688,      378,      383,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
    5,        40,        0,   185620,   2.0000,   198427,      208,     0000,        0,        0,        0,        2,   185395,   184803,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0, 402.80759, 175442.02,        0,        0,        0,        0,       -2,      617,     2196,      321,      346,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,       -2,        0,        0,        0,        0,        0,        0,        0
